case,member,status,ntime,nplev,old_mean,new_mean,bias_new_minus_old,rmse,max_abs_diff,corr,message
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.001.cam.h3,ok,123,23,-0.007065270783386886,-0.007774547266230608,0.00014242343381798845,0.002911659611227579,0.04250333396497802,0.9793634105722554,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.002.cam.h3,ok,123,23,-0.0072536868989610355,-0.008024573881897234,7.298664541469547e-05,0.002748036004567938,0.04502832996980327,0.9820081602967021,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.003.cam.h3,ok,123,23,-0.00739093299100983,-0.008130871082699248,4.9709295441037237e-05,0.002714330685033951,0.04458134349130673,0.9819948557532027,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.004.cam.h3,ok,123,23,-0.007414880225916071,-0.007964407932892286,0.00015725829777746598,0.0029480868366275983,0.038865970300972136,0.9784169730728464,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.005.cam.h3,ok,123,23,-0.007017339158908756,-0.007779073134737889,9.209299678250273e-05,0.002699508410114513,0.03934709180464805,0.9802885196564526,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.006.cam.h3,ok,123,23,-0.007225878694078419,-0.007890825551084816,0.00011748169059301113,0.0027211115133448987,0.03824786647346759,0.9813193199356997,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.007.cam.h3,ok,123,23,-0.006725769004467172,-0.007315676613245186,5.547640434246648e-05,0.002483829165791889,0.03429514149711385,0.9821330968881659,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.008.cam.h3,ok,123,23,-0.007249325582466214,-0.007926332046786428,0.00013185997697738244,0.002919612741643944,0.0410399923904447,0.9786878399464993,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.009.cam.h3,ok,123,23,-0.007046638959863637,-0.0077193276089064095,4.4801007383405885e-05,0.0024294757239999134,0.038517453522708175,0.9838922277499207,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.010.cam.h3,ok,123,23,-0.007313345722953612,-0.00807140090966499,7.616053317303082e-05,0.0028297063372518974,0.03336964007666457,0.9808004587360537,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.011.cam.h3,ok,123,23,-0.007139086427315911,-0.007825470136454987,6.77465821686623e-05,0.0025858418556790903,0.03996019403539719,0.9824640153420423,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.012.cam.h3,ok,123,23,-0.007352584299615479,-0.008235788596378524,1.9550485310627698e-05,0.002797629027589712,0.04575936255151079,0.9802273479918842,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.013.cam.h3,ok,123,23,-0.007069702260150311,-0.007745728907713354,9.318764907200327e-05,0.0026820827011707783,0.043323865054403776,0.9819650468990052,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.014.cam.h3,ok,123,23,-0.007071295583351722,-0.0077898664250894084,6.106658132644751e-05,0.002795738981007513,0.03624883133031066,0.9790980582191099,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.015.cam.h3,ok,123,23,-0.007287062617101052,-0.008029618639186557,9.753031731945698e-05,0.002718040247558093,0.04253044258620116,0.9812197754628447,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.016.cam.h3,ok,123,23,-0.007190079775847389,-0.007889646717699525,0.00015607395925904737,0.002972676625036174,0.03820043885355644,0.9797349053616886,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.017.cam.h3,ok,123,23,-0.007439546435255508,-0.008283632277851427,7.02575645287873e-05,0.002853373150778739,0.03498981713234456,0.9811312580655916,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.018.cam.h3,ok,123,23,-0.00748967726977216,-0.008257767846196641,4.1518625531851026e-05,0.0026880132831404316,0.03377230364059547,0.9832560590580325,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.019.cam.h3,ok,123,23,-0.007191460364140974,-0.007936762030445963,2.395612616167504e-05,0.002669725289228586,0.041353166516158085,0.9809630162278182,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.020.cam.h3,ok,123,23,-0.007515413235889402,-0.00821689979071671,0.00013356638101348942,0.002647141145095951,0.038138729113286474,0.983321054740748,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.021.cam.h3,ok,123,23,-0.007422259755394228,-0.0081650659195733,3.184426690183663e-05,0.0026313049139712165,0.03637694946735437,0.9824381334298673,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.022.cam.h3,ok,123,23,-0.007454269969125955,-0.008186911988102027,7.917498297454432e-05,0.0026133948511531863,0.03322622967593612,0.983596168430674,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.023.cam.h3,ok,123,23,-0.007082207337067831,-0.00783024751194691,7.042800749246326e-05,0.002946494024487932,0.0483624968273442,0.9794384449367013,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.024.cam.h3,ok,123,23,-0.0072873610408853715,-0.008003267890662823,0.00010913239716007247,0.0027758855443490477,0.038389850632587,0.9815662332660379,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.025.cam.h3,ok,123,23,-0.006796933143757273,-0.007367236434531497,7.832014197795149e-05,0.0025876034535588332,0.04418039736700517,0.9813413304055627,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.026.cam.h3,ok,123,23,-0.007051716694801881,-0.007659966292020437,0.00014775949893463365,0.0026101055017298974,0.037138724952526764,0.9809165853026355,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.027.cam.h3,ok,123,23,-0.00730309202455692,-0.00818254417318169,0.00013617563521344097,0.002664425966273402,0.03214847413935534,0.9830711356030729,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.028.cam.h3,ok,123,23,-0.007123898186206967,-0.007815384730654112,6.0221075620973565e-05,0.002608802946192412,0.04389582895919392,0.9833143820580277,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.029.cam.h3,ok,123,23,-0.007104170848802359,-0.007731202815056,0.00011520645993297241,0.0027987113707034178,0.039816822014976445,0.9795393988277236,
0008-03_v2,BWCN.e122.f19_g16.002.0008-03.030.cam.h3,ok,123,23,-0.0072214897746059525,-0.007922224980393099,4.779138341174672e-05,0.0025036430231690065,0.033827346430885585,0.9849617806282278,
