dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,min_o3_rmse_DU,min_o3_mse_skill_vs_climatology,min_o3_correlation,min_o3_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,1,01-01,59,DYN_PLUS_PASSIVE_TRACER,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",7.061356858614843,0.22995703617280805,0.48949127138558113,9.486453868291631e-14,6.55986971549693,0.13464967509243542,0.39536606903504123,4.438387423991768e-09,0.6909854851031322,0.17955566891676317,0.03923771502075735,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,2,01-02,58,VORTEX_STATE,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.076472638134568,0.22665674752579124,0.47610059454150466,5.394341598027073e-13,6.49507461537927,0.15166023945593565,0.38951453730351226,7.809944042773654e-09,0.6922587216704864,0.17338151555040485,0.07227423083705586,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,2,01-02,58,VORTEX_STATE,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.336504991714365,0.16877791845110846,0.42842783305823795,1.471115941858667e-10,6.7207882878057115,0.09167354585790954,0.3389092088098207,6.672454956710596e-07,0.6517697988286224,0.21525545249477968,-0.15178385422626883,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,2,01-02,58,VORTEX_STATE,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.386329810199989,0.1574493299608165,0.41686667642839575,5.051714434707043e-10,6.831952947237622,0.06137683925320103,0.3134559618011107,4.729836398901537e-06,0.6470588235294119,0.19156928005964952,-0.025044435256782682,0.3333333333333333,0.22077922077922077,0.3333333333333333,17,34,120,34,205,51,False
B2000WCN001002,2,01-02,58,WAVE_FORCING,linear_l2,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",6.967083603203842,0.25038083549693235,0.5006067770575264,2.113772726385728e-14,6.420189607236804,0.1711093484379197,0.41403561226024244,6.785346383739524e-10,0.6774891774891775,0.17502820276556327,0.06346317529630807,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,2,01-02,58,WAVE_FORCING,random_forest,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.228221762581246,0.19313370598538981,0.453435965340539,8.650816192226575e-12,6.678683973449763,0.10301884173803577,0.34692183427887757,3.470026564714527e-07,0.6107715813598167,0.2160908995651034,-0.15625414492277456,0.27450980392156865,0.24025974025974026,0.27450980392156865,14,37,117,37,205,51,False
B2000WCN001002,2,01-02,58,WAVE_FORCING,gradient_boosting,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.299550360672484,0.177130708223039,0.4336489998899761,8.297532174030773e-11,6.650964821098897,0.110449036289333,0.34901090109638067,2.917360991479982e-07,0.560096765979119,0.20580475183430708,-0.10121526557636296,0.29411764705882354,0.23376623376623376,0.29411764705882354,15,36,118,36,205,51,False
B2000WCN001002,2,01-02,58,DYN_COUPLED,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.110449755760973,0.2192126275531462,0.4742890872239626,6.785075852082712e-13,6.523849968760796,0.14412673047983593,0.3889194481228256,8.266842306774075e-09,0.6977336389101094,0.17414877561745187,0.06816879356717409,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
B2000WCN001002,2,01-02,58,DYN_COUPLED,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.233240732806713,0.19201280959152,0.4560423830969388,6.3524532228520716e-12,6.833228554262425,0.06102630227404959,0.3201047847503536,2.8844714141661073e-06,0.6389101094983447,0.21100428643961355,-0.12903681405968404,0.3137254901960784,0.22727272727272727,0.3137254901960784,16,35,119,35,205,51,False
B2000WCN001002,2,01-02,58,DYN_COUPLED,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.234346894796638,0.19176566364628467,0.4569098004656857,5.728687938894328e-12,6.752661718114715,0.08303761504568252,0.3400537372479102,6.084293776855123e-07,0.5959383753501402,0.20188706616547505,-0.0802526044823133,0.2549019607843137,0.24675324675324675,0.2549019607843137,13,38,116,38,205,51,False
B2000WCN001002,2,01-02,58,DYN_PLUS_PASSIVE_TRACER,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",6.77724298444909,0.29067584327589135,0.5453242381369501,2.8077358641435027e-17,6.281425640741878,0.20655289661047338,0.46251854179846486,2.915718942873137e-12,0.716959511077158,0.16781478091856908,0.10206058465713452,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
B2000WCN001002,2,01-02,58,DYN_PLUS_PASSIVE_TRACER,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",7.065992236785006,0.2289457257453249,0.4857803406034319,1.5473584055370333e-13,6.635236905426583,0.11465120560425723,0.3677199061597011,5.828179735233042e-08,0.6818181818181818,0.19983939378426333,-0.06929596686830486,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,2,01-02,58,DYN_PLUS_PASSIVE_TRACER,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",7.12581362401448,0.2158348174870336,0.47620035155612533,5.32642333527898e-13,6.598315030611435,0.1244768649847866,0.3831259242267491,1.4294740675318355e-08,0.6592182327476446,0.18975559422519309,-0.015339807399253669,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
B2000WCN001002,3,01-03,57,VORTEX_STATE,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.046368301889392,0.23322257944717173,0.48295368861164756,2.237344876313441e-13,6.470401507909874,0.15809324392638036,0.3976516380467575,3.5486158350596855e-09,0.6955691367456074,0.17239197386524457,0.07756904740426496,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,3,01-03,57,VORTEX_STATE,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.407808385054051,0.15254212983269122,0.41895019456235033,4.0585856957188215e-10,6.750071641007934,0.08374090743539209,0.33635933073763224,8.184521385988375e-07,0.6581359816653934,0.21364133716686876,-0.14314708358004324,0.3333333333333333,0.22077922077922077,0.3333333333333333,17,34,120,34,205,51,False
B2000WCN001002,3,01-03,57,VORTEX_STATE,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.357037282116961,0.16411881297934638,0.4246041134346319,2.2238506365283748e-10,6.718788077650372,0.09221412930133666,0.34118155437821074,5.553446342231259e-07,0.6412019353195825,0.19323594024448595,-0.0339623616978002,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,3,01-03,57,WAVE_FORCING,linear_l2,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",6.906627936269951,0.2633337743125722,0.5136841225982397,3.3654160642604043e-15,6.415730278092587,0.17226040869656511,0.41513670279623616,6.051717889233726e-10,0.6787624140565317,0.17434796184942106,0.06710299252331042,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,3,01-03,57,WAVE_FORCING,random_forest,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.160727523218582,0.20813174318112504,0.46704302261422204,1.6757634001997367e-12,6.6322944848111955,0.1154362539658661,0.3573344434395043,1.4432493424287422e-07,0.6384008148714031,0.20875733834278956,-0.11701389659482198,0.3137254901960784,0.22727272727272727,0.3137254901960784,16,35,119,35,205,51,False
B2000WCN001002,3,01-03,57,WAVE_FORCING,gradient_boosting,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.191861069991259,0.20123097446106086,0.4566193121207247,5.9306347846373655e-12,6.651950773044805,0.11018527921486931,0.35105906667545284,2.458055227055852e-07,0.5856251591545708,0.19987511668065067,-0.0694871121090328,0.3333333333333333,0.22077922077922077,0.3333333333333333,17,34,120,34,205,51,False
B2000WCN001002,3,01-03,57,DYN_COUPLED,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.033218155373934,0.23608187551951287,0.4944603947778627,4.8811915984861846e-14,6.497305607227689,0.15107734726341537,0.3973115733117302,3.669128369156344e-09,0.7069009421950598,0.1702575377631234,0.08898993831229163,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
