dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label,predictor_set,model_family,pred_MA_O3_loss,pred_MA_O3_min_DU,pred_low25_probability,prob_rank_desc,prob_top25_alarm
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,linear_l2,7.777029608499943,95.20067524511109,0.6113354086765599,2.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,random_forest,4.8538144760175745,97.93174688721157,0.6408387592070953,4.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,gradient_boosting,5.750898701336765,97.61251250785236,0.458813956272221,3.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,linear_l2,4.602911012191327,97.96890009563272,0.4486087826573682,5.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,random_forest,1.8129024239295917,100.9412035919717,0.564645066770947,12.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,gradient_boosting,2.2491398986655473,100.28186218115326,0.37069295140003994,11.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,linear_l2,8.123534152587446,95.98333566542614,0.5338444276490184,2.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,random_forest,4.1128568969583466,98.57938515426696,0.5988048037236473,7.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,gradient_boosting,5.967853596365802,97.3690556752315,0.3225416623520828,12.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,linear_l2,7.567619276559012,96.25388516220897,0.5468510537144902,2.0,True
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,random_forest,3.8506424678516864,98.66791976528575,0.5245715941076222,10.0,False
BWCN,8,1,01-01,59,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,gradient_boosting,4.626320900697232,97.67979308332892,0.27018043702078054,12.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,linear_l2,7.879538410791661,95.15935362859834,0.6142427024591923,2.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,random_forest,6.197530869693484,96.00698419678854,0.669813825570802,3.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,gradient_boosting,6.920247985641257,96.40936491326917,0.5607755739163581,3.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,linear_l2,4.6579082615895215,98.00983489942898,0.4437306682539954,5.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,random_forest,1.0346909297498597,101.29126061995993,0.6143572200844617,7.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,gradient_boosting,1.479510702350773,101.77827241074502,0.28560783787191885,13.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,linear_l2,8.01264294525468,95.26191977991556,0.5318622905031501,2.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,random_forest,5.4578543165669355,98.3478690884983,0.605133612794053,7.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,gradient_boosting,6.359430467975564,98.46864251000528,0.4386222459494708,5.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,linear_l2,7.677224984336187,96.09500208605097,0.5460519654184953,1.0,True
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,random_forest,4.665067530989996,98.57156090718343,0.5508314909405055,9.0,False
BWCN,8,2,01-02,58,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,gradient_boosting,6.059672950434651,97.9168871503408,0.2983791951306764,11.0,False
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,linear_l2,8.222473292009093,95.10708985928497,0.618044279863033,2.0,True
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,random_forest,7.75436188631907,94.53718690643338,0.7079646917236453,2.0,True
BWCN,8,3,01-03,57,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,gradient_boosting,8.163219512848261,95.4019720192201,0.544120270894428,2.0,True
