pair_id,our_year,marina_year,our_o3_rm5_min_DU,marina_o3_rm5_min_DU,our_fwd50_doy,marina_fwd50_doy,rm5_low25_membership,is_our_rm5_low25,is_marina_rm5_low25,valid_for_rm5_o3_low25
74,84,123,98.03203125,119.48690638730099,107.0,106.0,Our-only LOW25,True,False,True
75,85,124,99.97627563476563,116.99353033471404,93.0,92.0,Marina-only LOW25,False,True,True
76,86,125,109.54503479003907,131.07373076549857,98.0,97.0,not LOW25,False,False,True
77,87,126,104.57129516601563,125.22887462392164,143.0,142.0,not LOW25,False,False,True
78,88,127,88.17300109863281,107.20443603753553,131.0,130.0,both LOW25,True,True,True
79,89,128,105.8238525390625,126.66185371156364,117.0,116.0,not LOW25,False,False,True
80,90,129,102.05317077636718,122.38252739143816,63.0,62.0,not LOW25,False,False,True
81,91,130,110.18276824951172,131.50952905616452,127.0,126.0,not LOW25,False,False,True
82,92,131,90.88636169433593,109.43828667410664,138.0,137.0,both LOW25,True,True,True
83,93,132,106.99399871826172,129.41443728129,99.0,98.0,not LOW25,False,False,True
84,94,133,99.85078277587891,116.44949877537424,89.0,88.0,Marina-only LOW25,False,True,True
85,95,134,103.02012176513672,122.20111733352518,144.0,143.0,not LOW25,False,False,True
86,96,135,100.87885437011718,121.04793451520884,115.0,114.0,not LOW25,False,False,True
87,97,136,96.5872314453125,116.09186072453474,126.0,125.0,both LOW25,True,True,True
88,98,137,105.87909545898438,127.65067504938612,132.0,131.0,not LOW25,False,False,True
89,99,138,102.16564025878907,120.87791673108076,96.0,95.0,not LOW25,False,False,True
90,100,139,110.62255859375,132.13041992387767,129.0,128.0,not LOW25,False,False,True
91,101,140,102.35414428710938,121.71564789525392,107.0,106.0,not LOW25,False,False,True
92,102,141,98.01251373291015,118.64232233663753,130.0,129.0,Our-only LOW25,True,False,True
93,103,142,105.1256088256836,124.76996722249075,103.0,102.0,not LOW25,False,False,True
94,104,143,90.34170532226562,109.72583823208282,98.0,97.0,both LOW25,True,True,True
95,105,144,103.35527954101562,122.8685529558307,111.0,110.0,not LOW25,False,False,True
96,106,145,96.11292724609375,115.0840038717093,147.0,146.0,both LOW25,True,True,True
97,107,146,116.61282196044922,138.8596780566225,120.0,119.0,not LOW25,False,False,True
98,108,147,102.76855926513672,121.04618237783544,105.0,104.0,not LOW25,False,False,True
99,109,148,97.607080078125,118.31958832540573,121.0,120.0,Our-only LOW25,True,False,True
100,110,149,97.62633972167968,115.1414229568619,122.0,121.0,both LOW25,True,True,True
101,111,50,103.4140380859375,118.83820251478707,131.0,127.0,not LOW25,False,False,True
102,112,51,103.55004425048828,127.35162758484698,131.0,107.0,not LOW25,False,False,True
103,113,52,90.61170654296875,125.73420297381772,119.0,116.0,Our-only LOW25,True,False,True
104,114,53,113.94593505859375,136.26524652634563,121.0,120.0,not LOW25,False,False,True
105,115,54,102.07040557861328,120.38823499752692,77.0,76.0,not LOW25,False,False,True
106,116,55,105.84522094726563,126.52259115745603,122.0,121.0,not LOW25,False,False,True
107,117,56,92.339990234375,110.59344272323229,116.0,115.0,both LOW25,True,True,True
108,118,57,109.40020599365235,130.71555288797742,98.0,97.0,not LOW25,False,False,True
109,119,58,90.94057769775391,109.43937139282882,125.0,124.0,both LOW25,True,True,True
110,120,59,79.9459716796875,98.59626271714423,120.0,119.0,both LOW25,True,True,True
111,121,60,105.26741027832031,126.21254440898183,114.0,113.0,not LOW25,False,False,True
112,122,61,106.22212219238281,125.38892230605596,113.0,112.0,not LOW25,False,False,True
113,123,62,114.1271759033203,136.74155600283123,111.0,110.0,not LOW25,False,False,True
114,124,63,101.05237121582032,119.50809950343397,121.0,120.0,not LOW25,False,False,True
115,125,64,95.0063690185547,116.40231972312026,103.0,99.0,both LOW25,True,True,True
116,126,65,103.73579711914063,123.21454099456814,122.0,121.0,not LOW25,False,False,True
117,127,66,95.44796752929688,115.47566121481825,121.0,120.0,both LOW25,True,True,True
118,128,67,96.38677215576172,116.01724613990876,123.0,122.0,both LOW25,True,True,True
119,129,68,91.85154571533204,111.53103847520603,100.0,99.0,both LOW25,True,True,True
120,130,69,111.18584442138672,132.98397067735365,79.0,78.0,not LOW25,False,False,True
121,131,70,100.60231018066406,118.55501909870799,95.0,94.0,not LOW25,False,False,True
122,132,71,106.2367431640625,127.22635231927444,115.0,114.0,not LOW25,False,False,True
123,133,72,96.25411834716797,112.09075255661384,95.0,94.0,both LOW25,True,True,True
124,134,73,113.8874267578125,134.63014263604327,113.0,112.0,not LOW25,False,False,True
125,135,74,105.38993835449219,126.81868321030316,92.0,91.0,not LOW25,False,False,True
126,136,75,103.82444610595704,123.57154896732018,114.0,113.0,not LOW25,False,False,True
127,137,76,106.96212768554688,128.60966496548602,108.0,107.0,not LOW25,False,False,True
128,138,77,101.27813873291015,120.66760114965419,97.0,96.0,not LOW25,False,False,True
129,139,78,104.71529693603516,124.8718970175325,77.0,76.0,not LOW25,False,False,True
130,140,79,100.23963623046875,119.12002990971948,100.0,99.0,not LOW25,False,False,True
131,141,80,98.04587249755859,118.4782007785803,119.0,118.0,not LOW25,False,False,True
132,142,81,101.32274017333984,120.28943133021868,113.0,112.0,not LOW25,False,False,True
133,143,82,106.54793395996094,127.20959909387025,112.0,111.0,not LOW25,False,False,True
134,144,83,108.73648834228516,129.45035994901068,98.0,97.0,not LOW25,False,False,True
135,145,84,102.1304718017578,120.88314639500275,114.0,113.0,not LOW25,False,False,True
136,146,85,114.34676055908203,138.71390101357682,103.0,102.0,not LOW25,False,False,True
137,147,86,98.11507415771484,117.16206336453955,82.0,81.0,not LOW25,False,False,True
138,148,87,103.76341400146484,125.30735442604532,116.0,115.0,not LOW25,False,False,True
139,149,88,99.63774261474609,117.84326001260806,72.0,71.0,not LOW25,False,False,True
140,150,89,92.37904510498046,112.99005913682868,118.0,117.0,both LOW25,True,True,True
141,151,90,114.37343902587891,137.11609199629743,135.0,134.0,not LOW25,False,False,True
142,152,91,101.35915985107422,120.12482018527453,92.0,91.0,not LOW25,False,False,True
143,153,92,113.93028411865234,136.37823885315208,122.0,121.0,not LOW25,False,False,True
144,154,93,97.76905059814453,115.2112441288476,129.0,128.0,both LOW25,True,True,True
145,155,94,108.82955322265624,131.0370444745031,127.0,126.0,not LOW25,False,False,True
146,156,95,96.74434967041016,116.3325893619892,121.0,120.0,both LOW25,True,True,True
147,157,96,104.71943664550781,124.89805382124115,81.0,80.0,not LOW25,False,False,True
148,158,97,101.19107666015626,122.33486736616715,129.0,128.0,not LOW25,False,False,True
149,159,98,106.97845153808593,128.2667513508739,102.0,101.0,not LOW25,False,False,True
150,160,99,112.92254486083985,134.79350806207825,98.0,97.0,not LOW25,False,False,True
151,161,100,98.7967300415039,117.07751077647436,122.0,121.0,Marina-only LOW25,False,True,True
152,162,101,,125.53295360074837,,120.0,not LOW25,False,False,False
153,163,153,111.63160552978516,133.0895668604473,100.0,99.0,not LOW25,False,False,True
