dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,short_window_start_abs,short_window_end_abs,long_window_start_abs,long_window_end_abs,O3_short_mean,O3_short_trend,NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label
B2000WCN001002,2,1,01-01,59,339,366,277,366,-0.9594248194925734,0.10405667700892823,-0.623432028244947,0.06652862072272357,-0.002303769007602774,8.793734092131315,94.8167709350586,90,38.0,1
B2000WCN001002,3,1,01-01,59,704,731,642,731,-9.66785982359065,-0.31507059216593253,2.285303643435795,0.021371764634890815,-0.0014598967901466567,20.850689798618248,83.63811950683593,88,5.0,1
B2000WCN001002,4,1,01-01,59,1069,1096,1007,1096,2.4590525931399605,0.0901925128705271,-0.10179959161207822,0.03888924388721509,-0.0024744640964030127,5.104076699473141,97.62550811767578,97,56.0,0
B2000WCN001002,5,1,01-01,59,1434,1461,1372,1461,2.84985088938717,-0.13538891130182704,-0.8707119757171089,0.06892694675414994,-0.0022431069525938522,0.41027216806304895,98.54025573730469,120,68.0,0
B2000WCN001002,6,1,01-01,59,1799,1826,1737,1826,-2.497445634660682,-0.13913341772017304,0.8437443285854618,0.11778109687602789,-0.0020559528042202566,3.0711817519833873,101.14014129638672,114,95.0,0
B2000WCN001002,7,1,01-01,59,2164,2191,2102,2191,-4.431949952897987,-0.13988804084094505,2.2525994026239573,0.11720118451061247,-0.0015413849850465656,8.705415170432413,91.38705139160156,109,17.0,1
B2000WCN001002,8,1,01-01,59,2529,2556,2467,2556,1.0432526075268176,-0.15188126488627127,-0.8181372227095279,0.08300699258261197,-0.002688414572995842,17.678498766583797,84.76452331542968,115,8.0,1
B2000WCN001002,9,1,01-01,59,2894,2921,2832,2921,-0.5437430894946667,0.05965820895794274,0.6098162903200395,0.037606674296569755,-0.002123245235230765,3.8013312681046725,97.25764465332031,80,53.0,0
B2000WCN001002,10,1,01-01,59,3259,3286,3197,3286,-6.504433778581581,0.12747028326528892,1.7954058431405653,-0.005195949177676047,-0.002257040565056937,-6.014939703975245,110.1352294921875,120,193.0,0
B2000WCN001002,11,1,01-01,59,3624,3651,3562,3651,0.9906970873329003,0.09255825699097389,0.5200364781273124,-0.010988387390690081,-0.002368239945287858,-4.160613687189576,108.44892578125,120,179.0,0
B2000WCN001002,12,1,01-01,59,3989,4016,3927,4016,-2.758904222307167,0.09808806302679271,1.3731515174252233,-0.09928851282052978,-0.00208149276931241,-2.5852239877226837,103.65124816894532,120,123.0,0
B2000WCN001002,13,1,01-01,59,4354,4381,4292,4381,3.9408037353693124,0.16552516198873427,-0.9583338956556979,-0.07938020740212212,-0.0025343566958908647,-6.737183716526475,110.08952026367187,120,192.0,0
B2000WCN001002,14,1,01-01,59,4719,4746,4657,4746,0.03468670481685671,0.11072691758967013,0.45165940196569226,-0.05917864094612358,-0.0026129485642052874,1.471101630833605,97.42399291992187,120,55.0,0
B2000WCN001002,15,1,01-01,59,5084,5111,5022,5111,-7.54667010670658,0.10152989336589592,2.6013861128308515,0.0455529357833058,-0.0016820218130764795,1.5663241289925445,103.34768371582031,105,118.0,0
B2000WCN001002,16,1,01-01,59,5449,5476,5387,5476,3.8495029345008684,0.4395734090102719,-0.5260674630467121,-0.10635571393136203,-0.00300687549173611,-9.89079614728659,109.02833862304688,120,185.0,0
B2000WCN001002,17,1,01-01,59,5814,5841,5752,5841,3.786165608451065,0.23536328653172212,0.30147324208009224,-0.04872929309955426,-0.0024765347219059546,-1.0287310728036907,103.80736999511718,120,127.0,0
B2000WCN001002,18,1,01-01,59,6179,6206,6117,6206,8.2565358738668,-0.21238678789976556,-1.2623734616490343,0.10537940849141961,-0.0026888565000967694,-17.248644217775198,115.83248748779297,120,206.0,0
B2000WCN001002,19,1,01-01,59,6544,6571,6482,6571,-1.7884134124578357,-0.0992021489185388,0.794135764241589,0.06191237706997007,-0.0020639537736246295,7.882814252303571,95.81957397460937,109,42.0,1
B2000WCN001002,20,1,01-01,59,6909,6936,6847,6936,-7.660295551391292,0.0938757540397721,1.1948454722788744,0.05779045636949495,-0.0018876474854710827,-1.4738494860096976,106.99206237792968,120,164.0,0
B2000WCN001002,21,1,01-01,59,7274,7301,7212,7301,-6.8320980721432445,-0.07886226285818007,1.4161293193877584,0.025004513781495357,-0.001776155831271526,5.999484629440802,96.89038543701172,66,50.0,1
B2000WCN001002,22,1,01-01,59,7639,7666,7577,7666,9.950875081107315,0.15284892339265366,-2.581405198880325,0.06444042018348257,-0.002936434893053815,-10.909667442152436,110.00963592529297,120,191.0,0
B2000WCN001002,23,1,01-01,59,8004,8031,7942,8031,-1.9173574824564414,0.028346258441385688,1.5353484612226744,-0.014674009203391803,-0.002337942414087575,0.6312484253872682,102.30746917724609,106,107.0,0
B2000WCN001002,24,1,01-01,59,8369,8396,8307,8396,-0.17486153693467799,-0.10518385397287786,0.1914089356037094,0.02092721105666471,-0.002473182069378804,-3.9890770070618222,107.25518341064453,118,166.0,0
B2000WCN001002,25,1,01-01,59,8734,8761,8672,8761,11.158918806257288,0.28494276658234624,-1.0033269989080533,-0.06913376847884183,-0.003015939961749537,-11.382837363026857,105.71349029541015,120,145.0,0
B2000WCN001002,26,1,01-01,59,9099,9126,9037,9126,-4.39823603993412,-0.341130784856627,0.6210870793518272,0.08686873449688946,-0.002073943749536951,5.575027116913587,98.34502868652343,85,64.0,0
B2000WCN001002,27,1,01-01,59,9464,9491,9402,9491,-1.8699339289896442,-0.02638802348584726,1.5431689638119432,0.018629032654959184,-0.002161039337936702,-6.868886977604855,107.90791015625,61,173.0,0
B2000WCN001002,28,1,01-01,59,9829,9856,9767,9856,-3.564357713518104,-0.1730057320730762,1.264791400131543,0.026177952773651154,-0.0022817548704632063,-4.571391195034096,100.93659820556641,120,92.0,0
B2000WCN001002,29,1,01-01,59,10194,10221,10132,10221,4.5702379939665505,-0.15033772269978676,-0.3849002904739925,0.11466943463272036,-0.002233648368003196,-2.5333555114803685,101.93546447753906,118,101.0,0
B2000WCN001002,30,1,01-01,59,10559,10586,10497,10586,-1.2396652326133883,-0.08799377618128298,0.08364919006764372,0.032383916905704725,-0.0022342987376891333,6.378207123597437,96.37929229736328,70,46.0,1
B2000WCN001002,31,1,01-01,59,10924,10951,10862,10951,-9.162094399134734,-0.012936780386461406,1.4854624881473968,-0.0438309534233945,-0.001807329082206282,-1.3797736733415995,105.18956756591797,81,139.0,0
B2000WCN001002,32,1,01-01,59,11289,11316,11227,11316,-2.972647377650358,-0.011668923677899295,1.1897105796365623,-0.04155445798721093,-0.002023266282217398,-4.471494554569189,105.91817932128906,120,148.0,0
B2000WCN001002,33,1,01-01,59,11654,11681,11592,11681,-1.618227015450302,0.2622816491372091,0.7428829608425984,-0.08431620054272766,-0.0026690552923870504,3.6940877958646623,98.04959259033203,119,61.0,0
B2000WCN001002,34,1,01-01,59,12019,12046,11957,12046,6.419295491263564,0.0667072136906897,-0.8044592625722033,0.027600569617824318,-0.0025358744518714114,-4.654918531780062,102.87213287353515,120,115.0,0
B2000WCN001002,35,1,01-01,59,12384,12411,12322,12411,-3.575680933907335,-0.07563214216224459,1.4334923547463547,-0.019578649074176224,-0.0019544703822823857,10.76152909205127,88.45234985351563,114,11.0,1
B2000WCN001002,36,1,01-01,59,12749,12776,12687,12776,1.5652842825930844,-0.23071445602138738,0.44024170146000624,-0.005191448771922919,-0.0023958857716203817,4.946581457213599,95.90294952392578,114,43.0,1
B2000WCN001002,37,1,01-01,59,13114,13141,13052,13141,-0.6922126329516993,0.3446230801687521,-0.1958951250044254,-0.15240618263041117,-0.002604569072757476,0.5747106846486021,99.67527465820312,109,82.0,0
B2000WCN001002,38,1,01-01,59,13479,13506,13417,13506,-1.0792423352745217,0.27810165512513546,-0.9933901247366422,0.02083341822100204,-0.002721908948733742,-12.58039840818887,109.71105041503907,120,188.0,0
B2000WCN001002,39,1,01-01,59,13844,13871,13782,13871,-3.1169719800499136,-0.21888268533170552,0.9166658311718315,0.07108182116464544,-0.002032474522402766,10.677237815275845,88.8593994140625,86,12.0,1
B2000WCN001002,40,1,01-01,59,14209,14236,14147,14236,-4.685786666416403,-0.18010780849443703,1.5441273053026556,-0.02991671630187568,-0.001967992738270696,20.029168152149882,84.34797821044921,104,6.0,1
B2000WCN001002,41,1,01-01,59,14574,14601,14512,14601,-0.8243703129182158,-0.027951715291648825,0.32069589302758417,-0.06084536706305026,-0.0021886291498125375,-10.411708717927281,110.22414093017578,120,194.0,0
B2000WCN001002,42,1,01-01,59,14939,14966,14877,14966,-2.0953982321425455,0.049328332813541854,0.6133129539751391,-0.05631978129125401,-0.002257420010151098,10.327076247212638,92.64309844970703,119,25.0,1
B2000WCN001002,43,1,01-01,59,15304,15331,15242,15331,1.5188520599542734,0.1483933899761227,-0.06161757053442218,0.0030265862343870726,-0.002557781147910231,4.287006817220964,99.49068756103516,120,79.0,0
B2000WCN001002,44,1,01-01,59,15669,15696,15607,15696,-2.8207648790454463,-0.25929171876200013,-0.1209531147803419,0.06198338375598266,-0.002245423188985038,5.6436337593396235,94.63222198486328,120,36.0,1
B2000WCN001002,45,1,01-01,59,16034,16061,15972,16061,-3.3283944370637237,-0.1088153919004648,0.76567945540896,-0.06958015411588742,-0.002238339296757439,9.087530443829891,95.69625549316406,109,41.0,1
B2000WCN001002,46,1,01-01,59,16399,16426,16337,16426,6.0554558240795515,-0.010561177351099882,-1.4794160757734909,0.04104780578153683,-0.0026895001321857407,-1.301751907804651,101.95797576904297,120,102.0,0
B2000WCN001002,47,1,01-01,59,16764,16791,16702,16791,1.0957828417274307,0.19552167501718434,-0.22451616086532855,-0.0435086947667724,-0.0026642821786044013,-2.767911415681187,107.65236358642578,96,170.0,0
B2000WCN001002,48,1,01-01,59,17129,17156,17067,17156,9.731022851580247,0.41454420308667494,-1.9855099252240271,-0.10918871264160168,-0.0029606882500268273,-13.432616460787168,116.28779449462891,120,207.0,0
B2000WCN001002,49,1,01-01,59,17494,17521,17432,17521,1.4089928658799147,0.15482795576193217,0.11137633305818426,-0.1176329784642106,-0.0025740619629510656,-6.349679514105881,106.30965728759766,120,159.0,0
B2000WCN001002,50,1,01-01,59,17859,17886,17797,17886,-3.1719655277619654,-0.26435822052350083,1.5540795630458561,0.051289371707786094,-0.001970265752832216,-6.553623485833596,106.27900543212891,120,156.0,0
B2000WCN001002,51,1,01-01,59,18224,18251,18162,18251,-6.292752794084511,-0.15587680761609204,1.5038116800903683,0.008543731783058,-0.002226840325535769,1.8038482678965542,98.36824188232421,120,65.0,0
B2000WCN001002,52,1,01-01,59,18589,18616,18527,18616,-1.7422097446809108,-0.012461978568649456,-0.07861472482676224,0.0321797580655843,-0.002188214533271159,8.219651045296336,91.48133087158203,85,18.0,1
B2000WCN001002,53,1,01-01,59,18954,18981,18892,18981,-0.7762005501705888,0.08698704885768363,-0.33718070930853455,-0.022897074766739852,-0.002410291731147328,-2.1091331343911652,102.5690185546875,120,109.0,0
B2000WCN001002,54,1,01-01,59,19319,19346,19257,19346,0.2593755890070071,-0.004230952200526454,0.7219763075976633,-0.009453995585276752,-0.002490157346376089,12.219997845052996,85.35948028564454,120,9.0,1
B2000WCN001002,55,1,01-01,59,19684,19711,19622,19711,8.224341954276259,-0.18861035110813415,-2.2356781133673946,0.03141177384218571,-0.0025905103538316067,-10.047195558347362,106.5203643798828,120,160.0,0
B2000WCN001002,56,1,01-01,59,20049,20076,19987,20076,-8.592108655203372,0.023066983849061896,1.767111976558253,0.11774150824237518,-0.0017902948248512825,-7.679316059756174,106.97379608154297,118,163.0,0
B2000WCN001002,57,1,01-01,59,20414,20441,20352,20441,9.611704080217946,-0.3966436174731729,-1.696400666627998,0.05536269088568983,-0.0025560772504952325,-11.124460562990034,110.26956176757812,120,195.0,0
B2000WCN001002,58,1,01-01,59,20779,20806,20717,20806,3.013539276576762,-0.004961920022337915,-1.1508056014189443,-0.10919442817969272,-0.0028201597536844252,5.284106746780389,100.25469818115235,92,86.0,0
B2000WCN001002,59,1,01-01,59,21144,21171,21082,21171,3.9470095938723793,0.12613303289139444,-1.4319138022652087,-0.038566444185587134,-0.0025574653953056694,5.176393679053379,96.99595489501954,100,51.0,1
B2000WCN001002,60,1,01-01,59,21509,21536,21447,21536,0.9381505044297188,-0.11113641615991805,-1.4549109733809793,0.013365701471991889,-0.002548292585841742,-4.478002678248428,99.65046997070313,120,81.0,0
B2000WCN001002,61,1,01-01,59,21874,21901,21812,21901,-6.229496394112411,-0.11560453953899551,1.4428455113576335,0.09731251814265238,-0.0018636600642016016,12.199837757842761,91.72928009033203,83,19.0,1
B2000WCN001002,62,1,01-01,59,22239,22266,22177,22266,7.046637878871685,0.08016246608492505,-2.6542807832851403,-0.04968457654723211,-0.002919587976801451,-8.923267575829435,105.97001800537109,120,149.0,0
B2000WCN001002,63,1,01-01,59,22604,22631,22542,22631,6.088886741001986,-0.13858850523262742,-2.1619518450054085,-0.04321764941537412,-0.0027743130454471344,-8.827945520325459,105.97038421630859,120,150.0,0
B2000WCN001002,64,1,01-01,59,22969,22996,22907,22996,-0.6247870413466471,-0.03663541823344317,0.054895429025681564,0.0109890729389289,-0.0024982435320265173,-8.097334813558364,106.16610717773438,120,154.0,0
B2000WCN001002,65,1,01-01,59,23334,23361,23272,23361,-3.54269017855368,0.10566491245216039,2.030038684430755,0.059377183623219226,-0.001805470319485107,7.502437080052353,92.25421142578125,109,21.0,1
B2000WCN001002,66,1,01-01,59,23699,23726,23637,23726,-5.5933853798825,-0.1510122221446908,0.8175868793478159,0.08081485876404089,-0.0020319139534954755,-5.877677090710005,106.03973388671875,120,152.0,0
B2000WCN001002,67,1,01-01,59,24064,24091,24002,24091,-1.2884716683346515,-0.23738420802021357,0.9610855711990934,0.062445114139731146,-0.0018786374881218748,7.489775161787434,93.53636169433594,117,32.0,1
B2000WCN001002,68,1,01-01,59,24429,24456,24367,24456,0.07846406164581918,-0.2550907056218359,0.025465232185930813,0.010129406154896636,-0.0024356068727249616,3.09230676999376,101.8754165649414,99,98.0,0
B2000WCN001002,69,1,01-01,59,24794,24821,24732,24821,2.144272221610245,-0.2359838349507554,-0.329174118769993,0.04862756305449807,-0.0023947995987409786,0.9503751924050697,97.06966705322266,120,52.0,0
B2000WCN001002,70,1,01-01,59,25159,25186,25097,25186,-4.1148231065845104,-0.2107744370934735,1.4119890584359762,0.01904094374843382,-0.0019331901543880071,-7.778393778522186,106.29220886230469,120,157.0,0
B2000WCN001002,71,1,01-01,59,25524,25551,25462,25551,4.5779938729599925,-0.19643500844600995,-1.5872305220085978,0.008513533999765163,-0.0027331676068640103,-8.487351363090895,104.54183197021484,120,134.0,0
