model_family,predictor_set,earliest_single_usable_lead_days,earliest_7day_stable_usable_lead_days,best_auc,best_reg_correlation,best_reg_mse_skill
linear,O3_MEMORY,36.0,36.0,0.902589240824535,0.8615339478496756,0.742237833205099
random_forest,O3_MEMORY,31.0,24.0,0.8814102564102564,0.8243156865999887,0.6783239311784753
random_forest,DYN_PLUS_O3,23.0,23.0,0.8743086978381096,0.8267355730929447,0.6830509575145289
linear,DYN_PLUS_O3,17.0,17.0,0.9106334841628959,0.861051932939745,0.7414047342755002
linear,DYN,,,0.7937405731523379,0.6499749345024557,0.42239262754843065
random_forest,DYN,,,0.7696078431372548,0.6345902426763926,0.40175297148117284
