model_family,predictor_set,best_auc,best_reg_correlation,best_top25_hit_rate,best_top25_false_alarm_rate
linear,DYN,0.9647058823529412,0.8642697860880821,0.8,0.05555555555555555
linear,DYN_PLUS_O3,1.0,0.9229302551353256,1.0,0.0
linear,O3_MEMORY,0.9882352941176471,0.91095899276947,0.8,0.05555555555555555
random_forest,DYN,0.9647058823529412,0.8920324661020024,0.8,0.05555555555555555
random_forest,DYN_PLUS_O3,1.0,0.9488802581707841,1.0,0.0
random_forest,O3_MEMORY,0.9764705882352941,0.9138194279515112,0.8,0.05555555555555555
