case,member,status,ntime,nplev,old_mean,new_mean,bias_new_minus_old,rmse,max_abs_diff,corr,message
0014-02,BWCN.e122.f19_g16.002.0014-02.001.small-pertlim.cam.h3,ok,151,23,-0.007752001683117272,-0.00895507888791402,9.116200707154376e-05,0.002986180789055317,0.04025189082655527,0.9808873416841903,
0014-02,BWCN.e122.f19_g16.002.0014-02.002.small-pertlim.cam.h3,ok,151,23,-0.007342533919594638,-0.008189497225479436,0.00010130252365772124,0.0029747309487710236,0.04405981163056391,0.9756273278493479,
0014-02,BWCN.e122.f19_g16.002.0014-02.003.small-pertlim.cam.h3,ok,151,23,-0.0074270887033230665,-0.008331552983436213,0.00012477472694978191,0.0028029515358495246,0.038777686747512405,0.9807330369171251,
0014-02,BWCN.e122.f19_g16.002.0014-02.004.small-pertlim.cam.h3,ok,151,23,-0.0076939059298971385,-0.00865033203849426,8.0360143968803e-05,0.0032272867949427486,0.04640541798376123,0.9770241247422905,
0014-02,BWCN.e122.f19_g16.002.0014-02.005.small-pertlim.cam.h3,ok,151,23,-0.007624945466492702,-0.0085497661406494,8.430655254472656e-05,0.003125278687357949,0.05396849389973194,0.9764093497335502,
0014-02,BWCN.e122.f19_g16.002.0014-02.006.small-pertlim.cam.h3,ok,151,23,-0.00770191412159964,-0.008648538707912145,0.00013075131142665562,0.0032482180842368156,0.07524542025958572,0.9763048225637199,
0014-02,BWCN.e122.f19_g16.002.0014-02.007.small-pertlim.cam.h3,ok,151,23,-0.007314480559875266,-0.00811914224775979,0.00015926825300494074,0.0032201894677031367,0.04758620616586395,0.9741187075601293,
0014-02,BWCN.e122.f19_g16.002.0014-02.008.small-pertlim.cam.h3,ok,151,23,-0.007535589890005175,-0.00857271297347996,8.283784246379143e-05,0.0026932009269173105,0.04413685574313057,0.9823099806159421,
0014-02,BWCN.e122.f19_g16.002.0014-02.009.small-pertlim.cam.h3,ok,151,23,-0.007654723688007882,-0.008747622184767314,0.00019558555875994014,0.0031359410108543146,0.0467095498883323,0.9779402865804189,
0014-02,BWCN.e122.f19_g16.002.0014-02.010.small-pertlim.cam.h3,ok,151,23,-0.007527177165203431,-0.008265665161786312,0.00013310452962072227,0.0028393160257473068,0.03783833762315502,0.9793313664707106,
0014-02,BWCN.e122.f19_g16.002.0014-02.011.small-pertlim.cam.h3,ok,151,23,-0.007152707709951684,-0.008258951431292948,1.3059880669072225e-05,0.0027217284202939937,0.036978695017229,0.9788317583334951,
0014-02,BWCN.e122.f19_g16.002.0014-02.012.small-pertlim.cam.h3,ok,151,23,-0.007413955267381373,-0.00828162131065215,0.00015112622189181112,0.002954837200448483,0.03920008829235343,0.9804357930920609,
0014-02,BWCN.e122.f19_g16.002.0014-02.013.small-pertlim.cam.h3,ok,151,23,-0.007629777381273838,-0.00867682757782207,6.997972959286043e-05,0.002739308674929667,0.03415475553033935,0.9820837694828065,
0014-02,BWCN.e122.f19_g16.002.0014-02.014.small-pertlim.cam.h3,ok,151,23,-0.007278540133166204,-0.00820984974843609,8.983300783143044e-05,0.002792587703670562,0.04482193368861763,0.9800658101797339,
0014-02,BWCN.e122.f19_g16.002.0014-02.015.small-pertlim.cam.h3,ok,151,23,-0.007443893175412214,-0.008258660950439646,0.00013696290620678848,0.0028569412208561866,0.032075228443824585,0.9795851806051875,
0014-02,BWCN.e122.f19_g16.002.0014-02.016.small-pertlim.cam.h3,ok,151,23,-0.007568289505259684,-0.00844430147823424,0.00016378576414692592,0.0030370891636580686,0.0385422200443339,0.9783079434477017,
0014-02,BWCN.e122.f19_g16.002.0014-02.017.small-pertlim.cam.h3,ok,151,23,-0.00747406318797727,-0.008465136963467904,7.107663718468075e-05,0.002691712860300659,0.0357213805636113,0.9813694393323413,
0014-02,BWCN.e122.f19_g16.002.0014-02.018.small-pertlim.cam.h3,ok,151,23,-0.007356972275748691,-0.008320086590190633,0.00014298012102205668,0.002892665740582452,0.0406850607015736,0.979419722443594,
0014-02,BWCN.e122.f19_g16.002.0014-02.019.small-pertlim.cam.h3,ok,151,23,-0.007504324996976452,-0.008526707356811844,6.178829146042663e-05,0.0028614842584359455,0.0527261802020378,0.9807465362391001,
0014-02,BWCN.e122.f19_g16.002.0014-02.020.small-pertlim.cam.h3,ok,151,23,-0.0074223139803428085,-0.008370456549202829,4.411338862157686e-05,0.0027760897641849413,0.04282148932704351,0.9809186096004843,
