case,member,status,ntime,nplev,old_mean,new_mean,bias_new_minus_old,rmse,max_abs_diff,corr,message
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.001.small-pertlim.cam.h3,ok,154,23,-0.005912902636217573,-0.006405966377321497,0.00019693944831490663,0.002746864240120791,0.036516307463507876,0.9742582410042437,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.002.small-pertlim.cam.h3,ok,154,23,-0.006017350018985197,-0.006425234584858107,0.00018335914169549664,0.0024798089902674935,0.031139642467738468,0.9797626593241244,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.003.small-pertlim.cam.h3,ok,154,23,-0.005773070295611187,-0.006293881910222565,0.00011967010197094613,0.0023605528951119647,0.03381135084563984,0.9810771684731742,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.004.small-pertlim.cam.h3,ok,154,23,-0.006063895689603837,-0.006509202223498379,0.00012559046495938062,0.0024364871986298237,0.03476728507721675,0.9809139010876079,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.005.small-pertlim.cam.h3,ok,154,23,-0.006084735959277888,-0.006588248575832413,0.00019048967111133397,0.0027122141421516916,0.038932700754981744,0.9773180757606387,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.006.small-pertlim.cam.h3,ok,154,23,-0.005926226360940704,-0.006460518954998931,0.00014940983011553093,0.0024906113003379648,0.035128618929889714,0.9795376325466679,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.007.small-pertlim.cam.h3,ok,154,23,-0.00596365216541429,-0.006552321825577397,0.0001462841892866471,0.0026608419836503276,0.04858803365164392,0.9773893204790819,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.008.small-pertlim.cam.h3,ok,154,23,-0.005896668762326396,-0.006367202690645107,0.00016388081875562968,0.0027374747913495256,0.04872670359527388,0.9760560106837196,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.009.small-pertlim.cam.h3,ok,154,23,-0.005707699690460629,-0.006386704759099643,6.997173951289784e-05,0.0022397848703306685,0.03427771287436934,0.981928765900959,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.010.small-pertlim.cam.h3,ok,154,23,-0.006015561810457485,-0.006408754357933131,0.00023374672176312361,0.0027293605701314066,0.03412570434590367,0.9757256758069109,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.011.small-pertlim.cam.h3,ok,154,23,-0.005726574242827924,-0.006250225367897329,0.00016781816834821517,0.0025678556367524858,0.041243174745108704,0.9783933135592735,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.012.small-pertlim.cam.h3,ok,154,23,-0.005958873957721957,-0.00649127554486264,0.00012621789643549195,0.002237163193514254,0.03131165315720877,0.9824393682790447,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.013.small-pertlim.cam.h3,ok,154,23,-0.005665785486802111,-0.006287858185857728,0.00010586536207298279,0.0024494995174285834,0.035727924770288896,0.9777080546032988,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.014.small-pertlim.cam.h3,ok,154,23,-0.005990581546826982,-0.006544720348650775,0.00012686862987934725,0.002374056696003109,0.03936967309004688,0.9816084424918886,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.015.small-pertlim.cam.h3,ok,154,23,-0.006207246706517064,-0.006687756557655187,0.00016523211606410564,0.002568562282250676,0.03562125066384543,0.9792667563950349,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.016.small-pertlim.cam.h3,ok,154,23,-0.0060208949093261705,-0.006579023673620268,0.0001493766306305422,0.002685287270888837,0.03939907551216776,0.9766742894768004,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.017.small-pertlim.cam.h3,ok,154,23,-0.005919377036951605,-0.006404194006527352,0.00011151231837455269,0.002464977562648458,0.03277660494296927,0.979810004175685,
0008-03_NOCOUPL,BWCN.NOCOUPL.e122.f19_g16.002.0008-03.018.small-pertlim.cam.h3,ok,154,23,-0.005931018433217699,-0.006415223609557684,0.00013528214727546274,0.0024255727633098753,0.03276580424719695,0.9806628411277962,
